H2H will be built from this league lineage:
  • 2020: NFL UK 2020 [399.l.857293]
  • 2021: NFL UK 2021/22 [406.l.787594]
  • 2022: NFL UK 2022/23 [414.l.336160]
  • 2023: NFL UK 2022/23 [423.l.39167]
  • 2024: Can anyone stop the 3-peat? [449.l.66930]
  • 2025: Kyle Pitts Breakout Season [461.l.54130]
  · 2020: weeks 1–16 (NFL UK 2020)
2021 w2: Graham S vs Jake -> WINNER Jake  (playoffs=False, cons=False)
2021 w2: Jack C vs Simon L -> WINNER Jack C  (playoffs=False, cons=False)
2021 w2: Jack E vs Kevin G -> WINNER Jack E  (playoffs=False, cons=False)
2021 w3: Jake vs Jamie L -> WINNER Jake  (playoffs=False, cons=False)
2021 w3: Colin C vs Conor H -> WINNER Conor H  (playoffs=False, cons=False)
2021 w3: Graham S vs Jack C -> WINNER Jack C  (playoffs=False, cons=False)
2021 w3: Jack E vs Simon L -> WINNER Jack E  (playoffs=False, cons=False)
2021 w3: Andrew S vs Kevin G -> WINNER Andrew S  (playoffs=False, cons=False)
2021 w4: Jack C vs Jamie L -> WINNER Jack C  (playoffs=False, cons=False)
2021 w4: Conor H vs Jake -> WINNER Jake  (playoffs=False, cons=False)
2021 w4: Andrew S vs Colin C -> WINNER Colin C  (playoffs=False, cons=False)
2021 w4: Graham S vs Jack E -> WINNER Jack E  (playoffs=False, cons=False)
2021 w4: Kevin G vs Simon L -> WINNER Kevin G  (playoffs=False, cons=False)
2021 w5: Jack E vs Jamie L -> WINNER Jamie L  (playoffs=False, cons=False)
2021 w5: Conor H vs Jack C -> WINNER Conor H  (playoffs=False, cons=False)
2021 w5: Colin C vs Jake -> WINNER Jake  (playoffs=False, cons=False)
2021 w5: Graham S vs Kevin G -> WINNER Graham S  (playoffs=False, cons=False)
2021 w5: Andrew S vs Simon L -> WINNER Simon L  (playoffs=False, cons=False)
2021 w6: Jamie L vs Kevin G -> WINNER Jamie L  (playoffs=False, cons=False)
2021 w6: Conor H vs Jack E -> WINNER Conor H  (playoffs=False, cons=False)
2021 w6: Colin C vs Jack C -> WINNER Jack C  (playoffs=False, cons=False)
2021 w6: Andrew S vs Jake -> WINNER Andrew S  (playoffs=False, cons=False)
2021 w6: Graham S vs Simon L -> WINNER Simon L  (playoffs=False, cons=False)
2021 w7: Jamie L vs Simon L -> WINNER Simon L  (playoffs=False, cons=False)
2021 w7: Conor H vs Kevin G -> WINNER Conor H  (playoffs=False, cons=False)
2021 w7: Colin C vs Jack E -> WINNER Colin C  (playoffs=False, cons=False)
2021 w7: Jack C vs Jake -> WINNER Jake  (playoffs=False, cons=False)
2021 w7: Andrew S vs Graham S -> WINNER Graham S  (playoffs=False, cons=False)
2021 w8: Graham S vs Jamie L -> WINNER Graham S  (playoffs=False, cons=False)
2021 w8: Conor H vs Simon L -> WINNER Conor H  (playoffs=False, cons=False)
2021 w8: Colin C vs Kevin G -> WINNER Colin C  (playoffs=False, cons=False)
2021 w8: Jack E vs Jake -> WINNER Jack E  (playoffs=False, cons=False)
2021 w8: Andrew S vs Jack C -> WINNER Jack C  (playoffs=False, cons=False)
2021 w9: Andrew S vs Jamie L -> WINNER Jamie L  (playoffs=False, cons=False)
2021 w9: Conor H vs Graham S -> WINNER Graham S  (playoffs=False, cons=False)
2021 w9: Colin C vs Simon L -> WINNER Simon L  (playoffs=False, cons=False)
