round,pick,manager,player,position,editorial_team_abbr,adp,adp_diff
1,1,Chris,Christian McCaffrey,RB,SF,1.2,-0.2
1,2,Kevin,Saquon Barkley,RB,Phi,2.4,-0.4
1,3,Jake,Ezekiel Elliott,RB,Dal,3.5,-0.5
1,4,Jack C,Derrick Henry,RB,Bal,5.6,-1.6
1,5,Graham,Patrick Mahomes,QB,KC,12.0,-7.0
1,6,Brendan,Alvin Kamara,RB,NO,4.7,1.3
1,7,Ben,Michael Thomas,WR,NO,7.3,-0.3
1,8,Jamie,Clyde Edwards-Helaire,RB,KC,9.5,-1.5
2,9,Jamie,Dalvin Cook,RB,Dal,8.1,0.9
2,10,Ben,Nick Chubb,RB,Hou,14.1,-4.1
2,11,Brendan,Davante Adams,WR,LAR,11.1,-0.1
2,12,Graham,Aaron Jones Sr.,RB,Min,20.3,-8.3
2,13,Jack C,George Kittle,TE,SF,17.7,-4.7
2,14,Jake,Austin Ekeler,RB,Was,21.2,-7.2
2,15,Kevin,Joe Mixon,RB,Hou,12.3,2.7
2,16,Chris,Lamar Jackson,QB,Bal,17.2,-1.2
3,17,Chris,Tyreek Hill,WR,Mia,12.4,4.6
3,18,Kevin,Julio Jones,WR,Phi,15.1,2.9
3,19,Jake,Travis Kelce,TE,KC,18.4,0.6
3,20,Jack C,Josh Jacobs,RB,GB,17.9,2.1
3,21,Graham,DeAndre Hopkins,WR,Bal,18.8,2.2
3,22,Brendan,Kenyan Drake,RB,Bal,18.1,3.9
3,23,Ben,Russell Wilson,QB,NYG,41.8,-18.8
3,24,Jamie,Miles Sanders,RB,Dal,22.0,2.0
4,25,Jamie,Chris Godwin Jr.,WR,TB,24.3,0.7
4,26,Ben,Mark Andrews,TE,Bal,37.7,-11.7
4,27,Brendan,Adam Thielen,WR,Min,29.8,-2.8
4,28,Graham,Leonard Fournette,RB,Buf,67.6,-39.6
4,29,Jack C,James Conner,RB,Ari,28.5,0.5
4,30,Jake,Dak Prescott,QB,Dal,44.5,-14.5
4,31,Kevin,Kenny Golladay,WR,NYG,29.7,1.3
4,32,Chris,Chris Carson,RB,Sea,31.7,0.3
5,33,Chris,Zach Ertz,TE,Was,45.4,-12.4
5,34,Kevin,Mark Ingram II,RB,NO,41.9,-7.9
5,35,Jake,JuJu Smith-Schuster,WR,KC,36.7,-1.7
5,36,Jack C,Mike Evans,WR,TB,30.5,5.5
5,37,Graham,Stefon Diggs,WR,NE,72.5,-35.5
5,38,Brendan,Jonathan Taylor,RB,Ind,37.5,0.5
5,39,Ben,Raheem Mostert,RB,LV,49.6,-10.6
5,40,Jamie,DJ Moore,WR,Chi,39.0,1.0
6,41,Jamie,Cooper Kupp,WR,Sea,45.8,-4.8
6,42,Ben,Odell Beckham Jr.,WR,Mia,32.4,9.6
6,43,Brendan,Josh Allen,QB,Buf,70.9,-27.9
6,44,Graham,Jared Cook,TE,LAC,71.1,-27.1
6,45,Jack C,Deshaun Watson,QB,Cle,52.5,-7.5
6,46,Jake,Allen Robinson,WR,Det,28.6,17.4
6,47,Kevin,Kyler Murray,QB,Ari,52.1,-5.1
6,48,Chris,Amari Cooper,WR,LV,40.6,7.4
7,49,Chris,A.J. Brown,WR,Phi,40.5,8.5
7,50,Kevin,Tyler Higbee,TE,LAR,61.7,-11.7
7,51,Jake,Calvin Ridley,WR,Ten,51.3,-0.3
7,52,Jack C,Terry McLaurin,WR,Was,49.0,3.0
7,53,Graham,DK Metcalf,WR,Pit,54.5,-1.5
7,54,Brendan,Darren Waller,TE,Mia,61.7,-7.7
7,55,Ben,Todd Gurley,RB,Atl,35.2,19.8
7,56,Jamie,Melvin Gordon III,RB,Bal,35.6,20.4
8,57,Jamie,DJ Chark,WR,Atl,56.5,0.5
8,58,Ben,Tyler Lockett,WR,Ten,50.4,7.6
8,59,Brendan,Le'Veon Bell,RB,TB,49.0,10.0
8,60,Graham,Evan Engram,TE,Den,85.6,-25.6
8,61,Jack C,David Johnson,RB,NO,51.5,9.5
8,62,Jake,Michael Gallup,WR,Was,80.1,-18.1
8,63,Kevin,Ronald Jones,RB,Dal,83.2,-20.2
8,64,Chris,Jonnu Smith,TE,Pit,129.3,-65.3
9,65,Chris,Zack Moss,RB,Cin,100.1,-35.1
9,66,Kevin,Keenan Allen,WR,LAC,63.7,2.3
9,67,Jake,Cam Akers,RB,NO,64.6,2.4
9,68,Jack C,Courtland Sutton,WR,Den,63.1,4.9
9,69,Graham,Sony Michel,RB,LAC,110.9,-41.9
9,70,Brendan,Robert Woods,WR,Pit,68.4,1.6
9,71,Ben,Hollywood Brown,WR,KC,80.2,-9.2
9,72,Jamie,Matt Ryan,QB,Ind,69.6,2.4
10,73,Jamie,D'Andre Swift,RB,Chi,72.0,1.0
10,74,Ben,Tom Brady,QB,TB,85.3,-11.3
10,75,Brendan,Antonio Gibson,RB,NE,109.4,-34.4
10,76,Graham,T.Y. Hilton,WR,Dal,72.7,3.3
10,77,Jack C,Will Fuller V,WR,Mia,93.1,-16.1
10,78,Jake,Tyler Boyd,WR,Ten,88.3,-10.3
10,79,Kevin,J.K. Dobbins,RB,Den,87.9,-8.9
10,80,Chris,DeVante Parker,WR,NE,74.1,5.9
11,81,Chris,David Montgomery,RB,Det,81.6,-0.6
