season,date,type,player,position,nfl,from_team,to_team,note
2025,"Oct 15, 4:43 am",add,Jalen Coker,WR,Car,Free Agent,Drake it til you make it,Free Agent
2025,"Oct 15, 9:19 am",add,Josh Downs,WR,Ind,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Oct 16, 7:04 pm",add,Bam Knight,RB,Ari,Free Agent,My Ball Zach Ertz,Free Agent
2025,"Oct 17, 1:05 pm",add,Dylan Sampson,RB,Cle,Free Agent,Dak to the Future,Free Agent
2025,"Oct 17, 7:03 am",add,Luke McCaffrey,WR,Was,Free Agent,Strength of Schedule 49ers,Free Agent
2025,"Oct 18, 3:29 am",add,Darnell Mooney,WR,Atl,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Oct 18, 3:29 am",add,Elic Ayomanor,WR,Ten,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Oct 18, 4:42 pm",add,Sean Tucker,RB,TB,Free Agent,Dak to the Future,Free Agent
2025,"Oct 19, 4:55 am",add,Mason Taylor,TE,NYJ,Free Agent,PAT's the way uh-huh I like it,Free Agent
2025,"Oct 19, 5:00 am",add,Carolina,DEF,Car,Free Agent,My Ball Zach Ertz,Free Agent
2025,"Oct 2, 1:19 am",add,Matthew Stafford,QB,LAR,Free Agent,The Flea Flickers,Free Agent
2025,"Oct 2, 1:25 pm",add,Jake Tonges,TE,SF,Free Agent,Drake it til you make it,Free Agent
2025,"Oct 2, 1:42 am",add,Michael Carter,RB,Ari,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Oct 2, 1:45 am",add,Kendrick Bourne,WR,SF,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Oct 2, 8:05 am",add,Brashard Smith,RB,KC,Free Agent,Dak to the Future,Free Agent
2025,"Oct 22, 1:15 pm",add,Aaron Rodgers,QB,Pit,Free Agent,Never Starting Najee,Free Agent
2025,"Oct 22, 3:32 am",add,Brashard Smith,RB,KC,Waivers,Unsolicited Nix Pics,Waiver
2025,"Oct 22, 3:32 am",add,C.J. Stroud,QB,Hou,Waivers,Grease the Breece,Waiver
2025,"Oct 22, 3:32 am",add,Dylan Sampson,RB,Cle,Waivers,Drake it til you make it,Waiver
2025,"Oct 22, 3:32 am",add,Houston,DEF,Hou,Waivers,The Flea Flickers,Waiver
2025,"Oct 22, 3:32 am",add,Kayshon Boutte,WR,NE,Waivers,Dak to the Future,Waiver
2025,"Oct 22, 3:32 am",add,Kyle Monangai,RB,Chi,Waivers,Strength of Schedule 49ers,Waiver
2025,"Oct 22, 3:32 am",add,Kyle Pitts Sr.,TE,Atl,Waivers,Never Starting Najee,Waiver
2025,"Oct 22, 3:32 am",add,Michael Penix Jr.,QB,Atl,Waivers,PAT's the way uh-huh I like it,Waiver
2025,"Oct 22, 3:32 am",add,Oronde Gadsden,TE,LAC,Waivers,My Ball Zach Ertz,Waiver
2025,"Oct 22, 3:32 am",add,Parker Romo,K,Atl,Waivers,My Ball Zach Ertz,Waiver
2025,"Oct 22, 3:32 am",add,Philadelphia,DEF,Phi,Waivers,Drake it til you make it,Waiver
2025,"Oct 22, 3:32 am",add,Romeo Doubs,WR,GB,Waivers,The Flea Flickers,Waiver
2025,"Oct 22, 3:32 am",add,T.J. Hockenson,TE,Min,Waivers,San Franshelfo 49ers,Waiver
2025,"Oct 22, 3:32 am",add,Tampa Bay,DEF,TB,Waivers,Whole lotta Hurts,Waiver
2025,"Oct 22, 3:47 am",add,Michael Badgley,K,Ind,Free Agent,Belichick Daycare Centre,Free Agent
2025,"Oct 22, 4:30 pm",add,Joey Slye,K,Ten,Free Agent,Whole lotta Hurts,Free Agent
2025,"Oct 22, 5:12 am",add,Buffalo,DEF,Buf,Free Agent,My Ball Zach Ertz,Free Agent
2025,"Oct 22, 5:37 am",add,Ka'imi Fairbairn,K,Hou,Free Agent,San Franshelfo 49ers,Free Agent
2025,"Oct 23, 3:34 am",add,Marcus Mariota,QB,Was,Free Agent,Unsolicited Nix Pics,Free Agent
2025,"Oct 24, 4:20 am",add,Sean Tucker,RB,TB,Free Agent,My Ball Zach Ertz,Free Agent
2025,"Oct 24, 4:20 am",add,Tyrone Tracy Jr.,RB,NYG,Free Agent,My Ball Zach Ertz,Free Agent
2025,"Oct 25, 3:15 am",add,Bhayshul Tuten,RB,Jax,Free Agent,Drake it til you make it,Free Agent
2025,"Oct 26, 4:13 am",add,Cam Ward,QB,Ten,Free Agent,PAT's the way uh-huh I like it,Free Agent
2025,"Oct 26, 4:18 pm",add,Alec Pierce,WR,Ind,Free Agent,Dak to the Future,Free Agent
2025,"Oct 26, 9:39 am",add,Christian Watson,WR,GB,Free Agent,Dak to the Future,Free Agent
2025,"Oct 27, 5:50 am",add,Los Angeles Rams,DEF,LAR,Free Agent,Drake it til you make it,Free Agent
2025,"Oct 29, 2:34 pm",add,Tyler Loop,K,Bal,Free Agent,Whole lotta Hurts,Free Agent
2025,"Oct 29, 3:38 am",add,Brandon Aiyuk,WR,SF,Waivers,Whole lotta Hurts,Waiver
2025,"Oct 29, 3:38 am",add,Detroit,DEF,Det,Waivers,The Flea Flickers,Waiver
2025,"Oct 29, 3:38 am",add,Devin Neal,RB,NO,Waivers,Drake it til you make it,Waiver
2025,"Oct 29, 3:38 am",add,Jacksonville,DEF,Jax,Waivers,Strength of Schedule 49ers,Waiver
2025,"Oct 29, 3:38 am",add,Josh Downs,WR,Ind,Waivers,Belichick Daycare Centre,Waiver
2025,"Oct 29, 3:38 am",add,Mark Andrews,TE,Bal,Waivers,Strength of Schedule 49ers,Waiver
2025,"Oct 29, 3:38 am",add,Tank Bigsby,RB,Phi,Waivers,Strength of Schedule 49ers,Waiver
2025,"Oct 29, 3:38 am",add,Theo Johnson,TE,NYG,Waivers,Dak to the Future,Waiver
