round,pick,manager,player,position,editorial_team_abbr,adp,adp_diff
9,98,Kevin,Jaylen Warren,RB,Pit,90.5,7.5
9,99,Conor,Denver,DEF,Den,90.9,8.1
9,100,Jamie,Jayden Reed,WR,GB,111.0,-11.0
9,101,Chris,Nick Chubb,RB,Hou,123.0,-22.0
9,102,Graham,Najee Harris,RB,LAC,119.6,-17.6
9,103,Jack C,Mark Andrews,TE,Bal,63.4,39.6
9,104,Jake,Tyjae Spears,RB,Ten,129.6,-25.6
9,105,Si,Josh Downs,WR,Ind,122.6,-17.6
9,106,Ben,Baker Mayfield,QB,TB,71.3,34.7
9,107,Colin,Drake Maye,QB,NE,109.1,-2.1
9,108,Jack E,Travis Etienne Jr.,RB,Jax,108.1,-0.1
10,109,Jack E,Dylan Sampson,RB,Cle,129.3,-20.3
10,110,Colin,Jordan Love,QB,GB,115.1,-5.1
10,111,Ben,Brock Purdy,QB,SF,72.6,38.4
10,112,Si,Bhayshul Tuten,RB,Jax,126.0,-14.0
10,113,Jake,Darnell Mooney,WR,Atl,132.8,-19.8
10,114,Jack C,Joe Mixon,RB,Hou,83.0,31.0
10,115,Graham,Caleb Williams,QB,Chi,109.8,5.2
10,116,Chris,Michael Pittman Jr.,WR,Ind,125.8,-9.8
10,117,Jamie,Colston Loveland,TE,Chi,119.7,-2.7
10,118,Conor,Jaydon Blue,RB,Dal,128.4,-10.4
10,119,Kevin,Jauan Jennings,WR,SF,104.8,14.2
10,120,Andrew,Javonte Williams,RB,Dal,124.0,-4.0
11,121,Andrew,Rashid Shaheed,WR,NO,128.9,-7.9
11,122,Kevin,Jerome Ford,RB,Cle,129.3,-7.3
11,123,Conor,Jerry Jeudy,WR,Cle,92.7,30.3
11,124,Jamie,Austin Ekeler,RB,Was,125.5,-1.5
11,125,Chris,Justin Herbert,QB,LAC,105.4,19.6
11,126,Graham,Cooper Kupp,WR,Sea,114.8,11.2
11,127,Jack C,Trey Benson,RB,Ari,129.6,-2.6
11,128,Jake,Ollie Gordon II,RB,Mia,129.5,-1.5
11,129,Si,Keon Coleman,WR,Buf,127.9,1.1
11,130,Ben,Isaac Guerendo,RB,SF,128.5,1.5
11,131,Colin,Rico Dowdle,RB,Car,128.6,2.4
11,132,Jack E,Chris Godwin Jr.,WR,TB,105.6,26.4
12,133,Jack E,Brandon Aubrey,K,Dal,94.2,38.8
12,134,Colin,Brandon Aiyuk,WR,SF,129.1,4.9
12,135,Ben,Dallas Goedert,TE,Phi,114.3,20.7
12,136,Si,Marvin Mims Jr.,WR,Den,131.5,4.5
12,137,Jake,Baltimore,DEF,Bal,104.7,32.3
12,138,Jack C,Jayden Higgins,WR,Hou,131.0,7.0
12,139,Graham,Justin Fields,QB,NYJ,87.5,51.5
12,140,Chris,Philadelphia,DEF,Phi,89.3,50.7
12,141,Jamie,David Njoku,TE,Cle,82.0,59.0
12,142,Conor,Joshua Palmer,WR,Buf,127.4,14.6
12,143,Kevin,Pittsburgh,DEF,Pit,106.8,36.2
12,144,Andrew,Dalton Kincaid,TE,Buf,113.4,30.6
13,145,Andrew,C.J. Stroud,QB,Hou,119.2,25.8
13,146,Kevin,Cameron Dicker,K,LAC,112.4,33.6
13,147,Conor,Jake Bates,K,Det,118.1,28.9
13,148,Jamie,Will Shipley,RB,Phi,,
13,149,Chris,Tyler Allgeier,RB,Atl,130.8,18.2
13,150,Graham,Zach Ertz,TE,Was,126.2,23.8
13,151,Jack C,Houston,DEF,Hou,128.0,23.0
13,152,Jake,Ka'imi Fairbairn,K,Hou,130.0,22.0
13,153,Si,Woody Marks,RB,Hou,,
13,154,Ben,Detroit,DEF,Det,127.1,26.9
13,155,Colin,Minnesota,DEF,Min,120.8,34.2
13,156,Jack E,Kyle Pitts Sr.,TE,Atl,124.5,31.5
14,157,Jack E,Rachaad White,RB,TB,129.6,27.4
14,158,Colin,Mason Taylor,TE,NYJ,132.0,26.0
14,159,Ben,Harrison Butker,K,KC,132.0,27.0
14,160,Si,Kansas City,DEF,KC,122.3,37.7
14,161,Jake,Jaylen Wright,RB,Mia,129.5,31.5
14,162,Jack C,Evan McPherson,K,Cin,138.5,23.5
14,163,Graham,Washington,DEF,Was,135.7,27.3
14,164,Chris,Jonnu Smith,TE,Pit,120.0,44.0
14,165,Jamie,Isaac TeSlaa,WR,Det,,
14,166,Conor,Hunter Henry,TE,NE,123.9,42.1
14,167,Kevin,Jared Goff,QB,Det,105.6,61.4
14,168,Andrew,Chris Boswell,K,Pit,127.8,40.2
15,169,Andrew,Buffalo,DEF,Buf,131.0,38.0
15,170,Kevin,Chig Okonkwo,TE,Ten,128.3,41.7
15,171,Conor,J.J. McCarthy,QB,Min,121.5,49.5
15,172,Jamie,San Francisco,DEF,SF,132.3,39.7
15,173,Chris,Chase McLaughlin,K,TB,139.3,33.7
15,174,Graham,Tyler Bass,K,Buf,134.0,40.0
15,175,Jack C,Jordan Addison,WR,Min,97.6,77.4
15,176,Jake,Ray Davis,RB,Buf,129.2,46.8
15,177,Si,Daniel Carlson,K,LV,135.0,42.0
15,178,Ben,Rashod Bateman,WR,Bal,130.6,47.4
15,179,Colin,Joshua Karty,K,LAR,134.6,44.4
15,180,Jack E,Malik Washington,WR,Mia,,
