round,pick,manager,player,position,editorial_team_abbr,adp,adp_diff
1,1,Graham,Jonathan Taylor,RB,Ind,1.2,-0.2
1,2,Chris,Justin Jefferson,WR,Min,4.8,-2.8
1,3,Kevin,Christian McCaffrey,RB,SF,3.2,-0.2
1,4,Colin,Austin Ekeler,RB,Was,4.6,-0.6
1,5,Jamie,Derrick Henry,RB,Bal,6.2,-1.2
1,6,Jack E,Dalvin Cook,RB,Dal,6.8,-0.8
1,7,Andrew,Ja'Marr Chase,WR,Cin,8.5,-1.5
1,8,Conor,Cooper Kupp,WR,Sea,4.6,3.4
1,9,Brendan,D'Andre Swift,RB,Chi,17.6,-8.6
1,10,Jack C,Najee Harris,RB,LAC,11.3,-1.3
1,11,Ben,Davante Adams,WR,LAR,13.7,-2.7
1,12,Jake,Stefon Diggs,WR,NE,11.2,0.8
2,13,Jake,Travis Kelce,TE,KC,17.3,-4.3
2,14,Ben,Nick Chubb,RB,Hou,18.8,-4.8
2,15,Jack C,Joe Mixon,RB,Hou,11.6,3.4
2,16,Brendan,Josh Allen,QB,Buf,21.5,-5.5
2,17,Conor,Alvin Kamara,RB,NO,18.4,-1.4
2,18,Andrew,Javonte Williams,RB,Dal,25.3,-7.3
2,19,Jack E,Saquon Barkley,RB,Phi,17.2,1.8
2,20,Jamie,Aaron Jones Sr.,RB,Min,16.2,3.8
2,21,Colin,Leonard Fournette,RB,Buf,21.2,-0.2
2,22,Kevin,Mike Evans,WR,TB,21.9,0.1
2,23,Chris,Ezekiel Elliott,RB,Dal,30.7,-7.7
2,24,Graham,Tyreek Hill,WR,Mia,23.0,1.0
3,25,Graham,Deebo Samuel,WR,Was,23.0,2.0
3,26,Chris,Mark Andrews,TE,Bal,25.3,0.7
3,27,Kevin,James Conner,RB,Ari,30.7,-3.7
3,28,Colin,CeeDee Lamb,WR,Dal,15.7,12.3
3,29,Jamie,Keenan Allen,WR,LAC,32.4,-3.4
3,30,Jack E,Michael Pittman Jr.,WR,Ind,29.7,0.3
3,31,Andrew,Breece Hall,RB,NYJ,44.8,-13.8
3,32,Conor,A.J. Brown,WR,Phi,32.0,0.0
3,33,Brendan,Mike Williams,WR,Pit,42.1,-9.1
3,34,Jack C,Kyle Pitts Sr.,TE,Atl,35.9,-1.9
3,35,Ben,Lamar Jackson,QB,Bal,42.1,-7.1
3,36,Jake,Travis Etienne Jr.,RB,Jax,45.0,-9.0
4,37,Jake,Courtland Sutton,WR,Den,44.9,-7.9
4,38,Ben,Allen Robinson,WR,Det,50.5,-12.5
4,39,Jack C,Terry McLaurin,WR,Was,43.9,-4.9
4,40,Brendan,JuJu Smith-Schuster,WR,KC,63.9,-23.9
4,41,Conor,Elijah Mitchell,RB,KC,40.9,0.1
4,42,Andrew,DK Metcalf,WR,Pit,58.9,-16.9
4,43,Jack E,George Kittle,TE,SF,45.1,-2.1
4,44,Jamie,Jaylen Waddle,WR,Mia,51.7,-7.7
4,45,Colin,Tee Higgins,WR,Cin,31.7,13.3
4,46,Kevin,Amon-Ra St. Brown,WR,Det,65.8,-19.8
4,47,Chris,Darren Waller,TE,Mia,48.0,-1.0
4,48,Graham,DJ Moore,WR,Chi,37.8,10.2
5,49,Graham,Justin Herbert,QB,LAC,38.4,10.6
5,50,Chris,Patrick Mahomes,QB,KC,36.0,14.0
5,51,Kevin,Dameon Pierce,RB,Hou,78.4,-27.4
5,52,Colin,A.J. Dillon,RB,Phi,55.3,-3.3
5,53,Jamie,Jalen Hurts,QB,Phi,58.5,-5.5
5,54,Jack E,Joe Burrow,QB,Cin,55.4,-1.4
5,55,Andrew,Kyler Murray,QB,Ari,58.8,-3.8
5,56,Conor,Cam Akers,RB,NO,48.8,7.2
5,57,Brendan,David Montgomery,RB,Det,48.1,8.9
5,58,Jack C,Chase Edmonds,RB,TB,70.1,-12.1
5,59,Ben,Damien Harris,RB,Buf,76.3,-17.3
5,60,Jake,Brandin Cooks,WR,NO,71.5,-11.5
6,61,Jake,Adam Thielen,WR,Min,82.2,-21.2
6,62,Ben,Dalton Schultz,TE,Hou,56.5,5.5
6,63,Jack C,Josh Jacobs,RB,GB,57.9,5.1
6,64,Brendan,Diontae Johnson,WR,Cle,52.4,11.6
6,65,Conor,Rashod Bateman,WR,Bal,83.1,-18.1
6,66,Andrew,Dawson Knox,TE,Buf,77.9,-11.9
6,67,Jack E,Jerry Jeudy,WR,Cle,66.9,0.1
6,68,Jamie,Gabe Davis,WR,Jax,65.5,2.5
6,69,Colin,Hollywood Brown,WR,KC,83.4,-14.4
6,70,Kevin,Darnell Mooney,WR,Atl,92.4,-22.4
6,71,Chris,Miles Sanders,RB,Dal,90.2,-19.2
6,72,Graham,Clyde Edwards-Helaire,RB,KC,75.2,-3.2
7,73,Graham,Zach Ertz,TE,Was,96.6,-23.6
7,74,Chris,Elijah Moore,WR,Buf,95.2,-21.2
7,75,Kevin,Dallas Goedert,TE,Phi,65.8,9.2
7,76,Colin,Tony Pollard,RB,Ten,92.2,-16.2
7,77,Jamie,Rashaad Penny,RB,Phi,86.1,-9.1
7,78,Jack E,Devin Singletary,RB,NYG,88.1,-10.1
7,79,Andrew,Hunter Renfrow,WR,Car,94.3,-15.3
7,80,Conor,Aaron Rodgers,QB,Pit,91.8,-11.8
7,81,Brendan,J.K. Dobbins,RB,Den,61.9,19.1
7,82,Jack C,Tom Brady,QB,TB,64.3,17.7
7,83,Ben,Amari Cooper,WR,LV,90.0,-7.0
7,84,Jake,Rhamondre Stevenson,RB,NE,90.1,-6.1
8,85,Jake,Trey Lance,QB,LAC,91.7,-6.7
8,86,Ben,Kareem Hunt,RB,KC,97.7,-11.7
8,87,Jack C,Christian Kirk,WR,Hou,105.0,-18.0
8,88,Brendan,Antonio Gibson,RB,NE,72.6,15.4
8,89,Conor,T.J. Hockenson,TE,Min,71.1,17.9
8,90,Andrew,Melvin Gordon III,RB,Bal,102.0,-12.0
8,91,Jack E,Chris Godwin Jr.,WR,TB,95.1,-4.1
8,92,Jamie,Cordarrelle Patterson,RB,Pit,98.2,-6.2
8,93,Colin,Russell Wilson,QB,NYG,74.5,18.5
8,94,Kevin,Matthew Stafford,QB,LAR,97.5,-3.5
8,95,Chris,Brandon Aiyuk,WR,SF,97.5,-2.5
8,96,Graham,Jamaal Williams,RB,NO,130.1,-34.1
9,97,Graham,Michael Thomas,WR,NO,78.4,18.6
9,98,Chris,Kenneth Walker III,RB,Sea,113.7,-15.7
9,99,Kevin,Buffalo,DEF,Buf,70.1,28.9
9,100,Colin,Cole Kmet,TE,Chi,114.3,-14.3
9,101,Jamie,Robert Woods,WR,Pit,117.6,-16.6
9,102,Jack E,Los Angeles,DEF,LAR,98.4,3.6
9,103,Andrew,Pat Freiermuth,TE,Pit,116.8,-13.8
9,104,Conor,DeVonta Smith,WR,Phi,108.0,-4.0
9,105,Brendan,David Njoku,TE,Cle,128.3,-23.3
9,106,Jack C,Allen Lazard,WR,NYJ,105.9,0.1
9,107,Ben,Hunter Henry,TE,NE,128.4,-21.4
9,108,Jake,Nyheim Miller-Hines,RB,LAC,125.8,-17.8
10,109,Jake,James Robinson,RB,NO,121.4,-12.4
10,110,Ben,George Pickens,WR,Dal,121.9,-11.9
10,111,Jack C,Dak Prescott,QB,Dal,89.3,21.7
10,112,Brendan,Tyler Lockett,WR,Ten,115.0,-3.0
10,113,Conor,Drake London,WR,Atl,117.8,-4.8
10,114,Andrew,Treylon Burks,WR,Ten,130.3,-16.3
10,115,Jack E,James Cook,RB,Buf,116.8,-1.8
10,116,Jamie,Chris Olave,WR,NO,123.8,-7.8
10,117,Colin,Nico Collins,WR,Hou,132.3,-15.3
10,118,Kevin,Michael Carter,RB,Ari,120.2,-2.2
10,119,Chris,Darrell Henderson Jr.,RB,LAR,119.6,-0.6
10,120,Graham,Jakobi Meyers,WR,LV,131.5,-11.5
11,121,Graham,Rachaad White,RB,TB,129.5,-8.5
11,122,Chris,Chase Claypool,WR,Buf,125.2,-3.2
11,123,Kevin,Kadarius Toney,WR,Cle,124.0,-1.0
11,124,Colin,Julio Jones,WR,Phi,124.8,-0.8
11,125,Jamie,Justin Fields,QB,NYJ,128.6,-3.6
11,126,Jack E,Jarvis Landry,WR,NO,127.2,-1.2
11,127,Andrew,Derek Carr,QB,NO,111.6,15.4
11,128,Conor,Albert Okwuegbunam,TE,LV,123.1,4.9
11,129,Brendan,Russell Gage Jr.,WR,SF,126.1,2.9
11,130,Jack C,DeAndre Hopkins,WR,Bal,103.0,27.0
11,131,Ben,Raheem Mostert,RB,LV,127.0,4.0
11,132,Jake,Michael Gallup,WR,Was,132.8,-0.8
12,133,Jake,Alexander Mattison,RB,Mia,125.7,7.3
12,134,Ben,DeVante Parker,WR,NE,129.2,4.8
12,135,Jack C,San Francisco,DEF,SF,82.9,52.1
12,136,Brendan,Kirk Cousins,QB,Atl,116.9,19.1
12,137,Conor,Mike Gesicki,TE,Cin,123.0,14.0
12,138,Andrew,Kenneth Gainwell,RB,Pit,130.7,7.3
12,139,Jack E,Tyler Higbee,TE,LAR,129.0,10.0
12,140,Jamie,Irv Smith Jr.,TE,Hou,133.7,6.3
12,141,Colin,Austin Hooper,TE,NE,134.8,6.2
12,142,Kevin,Tyler Boyd,WR,Ten,129.7,12.3
12,143,Chris,Mark Ingram II,RB,NO,128.0,15.0
12,144,Graham,Mo Alie-Cox,TE,Ind,126.2,17.8
13,145,Graham,Jalen Tolbert,WR,Dal,128.8,16.2
13,146,Chris,Curtis Samuel,WR,Buf,109.4,36.6
13,147,Kevin,Tyler Allgeier,RB,Atl,129.8,17.2
13,148,Colin,Jameis Winston,QB,NYG,129.9,18.1
13,149,Jamie,Marquez Valdes-Scantling,WR,SF,129.4,19.6
13,150,Jack E,Matt Ryan,QB,Ind,131.2,18.8
13,151,Andrew,Gerald Everett,TE,Chi,130.8,20.2
13,152,Conor,Khalil Herbert,RB,Ind,128.2,23.8
13,153,Brendan,Romeo Doubs,WR,GB,129.6,23.4
13,154,Jack C,Skyy Moore,WR,SF,130.2,23.8
13,155,Ben,Tua Tagovailoa,QB,Mia,128.3,26.7
13,156,Jake,Philadelphia,DEF,Phi,141.1,14.9
14,157,Jake,Isaiah McKenzie,WR,Mia,130.3,26.7
14,158,Ben,Isiah Pacheco,RB,KC,128.4,29.6
14,159,Jack C,Zamir White,RB,LV,129.4,29.6
14,160,Brendan,Hayden Hurst,TE,LAC,127.6,32.4
14,161,Conor,Mac Jones,QB,SF,126.0,35.0
14,162,Andrew,Garrett Wilson,WR,NYJ,119.7,42.3
14,163,Jack E,New Orleans,DEF,NO,119.6,43.4
14,164,Jamie,Mike Davis,RB,Bal,129.8,34.2
14,165,Colin,Green Bay,DEF,GB,110.4,54.6
14,166,Kevin,Robert Tonyan,TE,KC,130.2,35.8
14,167,Chris,Baltimore,DEF,Bal,131.0,36.0
14,168,Graham,Indianapolis,DEF,Ind,109.6,58.4
15,169,Graham,Baker Mayfield,QB,TB,124.0,45.0
15,170,Chris,A.J. Green,WR,Ari,,
15,171,Kevin,Trevor Lawrence,QB,Jax,128.9,42.1
15,172,Colin,Parris Campbell,WR,Phi,,
15,173,Jamie,New England,DEF,NE,134.5,38.5
15,174,Jack E,Sammy Watkins,WR,Bal,128.6,45.4
15,175,Andrew,Tampa Bay,DEF,TB,83.0,92.0
15,176,Conor,Los Angeles,DEF,LAC,125.7,50.3
15,177,Brendan,Denver,DEF,Den,108.4,68.6
15,178,Jack C,Brevin Jordan,TE,Hou,,
15,179,Ben,Cleveland,DEF,Cle,140.1,38.9
15,180,Jake,Rondale Moore,WR,Min,130.3,49.7
