round,pick,manager,player,position,editorial_team_abbr,adp,adp_diff
6,63,Jamie,Tee Higgins,WR,Cin,72.0,-9.0
6,64,Chris,Rome Odunze,WR,Chi,100.5,-36.5
6,65,Graham,Amari Cooper,WR,LV,55.6,9.4
6,66,Andrew,Jake Ferguson,TE,Dal,78.6,-12.6
6,67,Jake,Najee Harris,RB,LAC,71.9,-4.9
6,68,Conor,James Conner,RB,Ari,59.9,8.1
6,69,Si,David Njoku,TE,Cle,94.5,-25.5
6,70,Ben,Aaron Jones Sr.,RB,Min,55.4,14.6
6,71,Kevin,Joe Burrow,QB,Cin,63.5,7.5
6,72,Jack C,Jayden Daniels,QB,Was,94.4,-22.4
7,73,Jack C,Zamir White,RB,LV,78.0,-5.0
7,74,Kevin,Javonte Williams,RB,Dal,94.6,-20.6
7,75,Ben,Chris Godwin Jr.,WR,TB,87.8,-12.8
7,76,Si,Zay Flowers,WR,Bal,68.8,7.2
7,77,Conor,Tony Pollard,RB,Ten,89.9,-12.9
7,78,Jake,Zack Moss,RB,Cin,105.4,-27.4
7,79,Andrew,Stefon Diggs,WR,NE,49.9,29.1
7,80,Graham,Diontae Johnson,WR,Cle,92.1,-12.1
7,81,Chris,Terry McLaurin,WR,Was,75.4,5.6
7,82,Jamie,Kyle Pitts Sr.,TE,Atl,64.1,17.9
7,83,Jack E,Jayden Reed,WR,GB,94.5,-11.5
7,84,Colin,Brian Thomas Jr.,WR,Jax,111.8,-27.8
8,85,Colin,Devin Singletary,RB,NYG,98.8,-13.8
8,86,Jack E,Chase Brown,RB,Cin,114.1,-28.1
8,87,Jamie,Calvin Ridley,WR,Ten,90.4,-3.4
8,88,Chris,Nick Chubb,RB,Hou,106.3,-18.3
8,89,Graham,Jerome Ford,RB,Cle,116.7,-27.7
8,90,Andrew,Brian Robinson Jr.,RB,SF,94.9,-4.9
8,91,Jake,Blake Corum,RB,LAR,125.7,-34.7
8,92,Conor,Evan Engram,TE,Den,73.7,18.3
8,93,Si,Christian Kirk,WR,Hou,89.7,3.3
8,94,Ben,Tyjae Spears,RB,Ten,108.7,-14.7
8,95,Kevin,Jaxon Smith-Njigba,WR,Sea,110.1,-15.1
8,96,Jack C,Jordan Addison,WR,Min,117.9,-21.9
9,97,Jack C,Jonathon Brooks,RB,Car,115.5,-18.5
9,98,Kevin,Austin Ekeler,RB,Was,111.1,-13.1
9,99,Ben,Caleb Williams,QB,Chi,107.7,-8.7
9,100,Si,Trey Benson,RB,Ari,122.8,-22.8
9,101,Conor,Xavier Worthy,WR,KC,104.8,-3.8
9,102,Jake,Jameson Williams,WR,Det,120.8,-18.8
9,103,Andrew,Tua Tagovailoa,QB,Mia,108.2,-5.2
9,104,Graham,Khalil Shakir,WR,Buf,126.8,-22.8
9,105,Chris,Brock Bowers,TE,LV,108.7,-3.7
9,106,Jamie,Gus Edwards,RB,LAC,119.1,-13.1
9,107,Jack E,Hollywood Brown,WR,KC,111.3,-4.3
9,108,Colin,Christian Watson,WR,GB,113.2,-5.2
10,109,Colin,Trevor Lawrence,QB,Jax,121.4,-12.4
10,110,Jack E,Jaylen Warren,RB,Pit,102.2,7.8
10,111,Jamie,Jared Goff,QB,Det,108.3,2.7
10,112,Chris,Adonai Mitchell,WR,Ind,132.0,-20.0
10,113,Graham,Khalil Herbert,RB,Ind,130.0,-17.0
10,114,Andrew,Rico Dowdle,RB,Car,126.0,-12.0
10,115,Jake,Taysom Hill,QB,NO,131.1,-16.1
10,116,Conor,Jakobi Meyers,WR,LV,130.3,-14.3
10,117,Si,Brock Purdy,QB,SF,89.2,27.8
10,118,Ben,Romeo Doubs,WR,GB,130.7,-12.7
10,119,Kevin,Baltimore,DEF,Bal,76.4,42.6
10,120,Jack C,New York,DEF,NYJ,81.8,38.2
11,121,Jack C,Chuba Hubbard,RB,Car,123.7,-2.7
11,122,Kevin,Ezekiel Elliott,RB,Dal,119.0,3.0
11,123,Ben,Jordan Mason,RB,Min,80.7,42.3
11,124,Si,San Francisco,DEF,SF,71.7,52.3
11,125,Conor,Dallas,DEF,Dal,88.5,36.5
11,126,Jake,Joshua Palmer,WR,Buf,131.4,-5.4
11,127,Andrew,Cleveland,DEF,Cle,92.7,34.3
11,128,Graham,Justin Herbert,QB,LAC,127.8,0.2
11,129,Chris,Matthew Stafford,QB,LAR,129.5,-0.5
11,130,Jamie,Ladd McConkey,WR,LAC,123.5,6.5
11,131,Jack E,T.J. Hockenson,TE,Min,129.6,1.4
11,132,Colin,Pat Freiermuth,TE,Pit,128.7,3.3
12,133,Colin,Jonnu Smith,TE,Pit,123.7,9.3
12,134,Jack E,Courtland Sutton,WR,Den,116.1,17.9
12,135,Jamie,Jaylen Wright,RB,Mia,129.4,5.6
12,136,Chris,Rashod Bateman,WR,Bal,,
12,137,Graham,Dallas Goedert,TE,Phi,109.4,27.6
12,138,Andrew,Keenan Allen,WR,LAC,89.8,48.2
12,139,Jake,Tyler Allgeier,RB,Atl,131.7,7.3
12,140,Conor,Dalton Schultz,TE,Hou,120.7,19.3
12,141,Si,J.K. Dobbins,RB,Den,110.5,30.5
12,142,Ben,Bucky Irving,RB,TB,117.6,24.4
12,143,Kevin,Justin Tucker,K,Bal,78.8,64.2
12,144,Jack C,Brandon Aubrey,K,Dal,85.2,58.8
13,145,Jack C,Keon Coleman,WR,Buf,125.5,19.5
13,146,Kevin,Kirk Cousins,QB,Atl,128.6,17.4
13,147,Ben,Cole Kmet,TE,Chi,130.7,16.3
13,148,Si,Harrison Butker,K,KC,89.1,58.9
13,149,Conor,Ty Chandler,RB,Min,130.7,18.3
13,150,Jake,Cincinnati,DEF,Cin,142.0,8.0
13,151,Andrew,Jake Elliott,K,Phi,104.5,46.5
13,152,Graham,Mike Williams,WR,Pit,132.8,19.2
13,153,Chris,Pittsburgh,DEF,Pit,108.5,44.5
13,154,Jamie,Justin Fields,QB,NYJ,117.8,36.2
13,155,Jack E,Miami,DEF,Mia,123.3,31.7
13,156,Colin,Zach Charbonnet,RB,Sea,128.6,27.4
14,157,Colin,Kansas City,DEF,KC,101.6,55.4
14,158,Jack E,Deshaun Watson,QB,Cle,131.1,26.9
14,159,Jamie,New England,DEF,NE,128.6,30.4
14,160,Chris,Philadelphia,DEF,Phi,133.1,26.9
14,161,Graham,Younghoe Koo,K,Atl,127.1,33.9
14,162,Andrew,Luke Musgrave,TE,GB,133.7,28.3
14,163,Jake,Ka'imi Fairbairn,K,Hou,114.9,48.1
14,164,Conor,Aaron Rodgers,QB,Pit,125.2,38.8
14,165,Si,Jaleel McLaughlin,RB,Den,130.3,34.7
14,166,Ben,Evan McPherson,K,Cin,121.7,44.3
14,167,Kevin,Brandin Cooks,WR,NO,127.7,39.3
14,168,Jack C,Baker Mayfield,QB,TB,120.3,47.7
15,169,Jack C,Isaiah Likely,TE,Bal,115.3,53.7
15,170,Kevin,Tyler Conklin,TE,LAC,133.8,36.2
15,171,Ben,Gabe Davis,WR,Jax,132.2,38.8
15,172,Si,DeAndre Hopkins,WR,Bal,119.5,52.5
15,173,Conor,Jake Moody,K,SF,114.5,58.5
15,174,Jake,Samaje Perine,RB,Cin,,
15,175,Andrew,Tyler Lockett,WR,Ten,129.2,45.8
15,176,Graham,New Orleans,DEF,NO,139.7,36.3
15,177,Chris,Darnell Mooney,WR,Atl,121.8,55.2
15,178,Jamie,Dontayvion Wicks,WR,GB,127.0,51.0
15,179,Jack E,Rashid Shaheed,WR,NO,124.5,54.5
15,180,Colin,Cairo Santos,K,Chi,118.7,61.3
