round,pick,manager,player,position,editorial_team_abbr,adp,adp_diff
1,1,Jack C,Christian McCaffrey,RB,SF,3.1,-2.1
1,2,Kevin,CeeDee Lamb,WR,Dal,3.2,-1.2
1,3,Ben,Tyreek Hill,WR,Mia,3.7,-0.7
1,4,Si,Amon-Ra St. Brown,WR,Det,8.0,-4.0
1,5,Conor,Breece Hall,RB,NYJ,4.5,0.5
1,6,Jake,Justin Jefferson,WR,Min,7.3,-1.3
1,7,Andrew,Garrett Wilson,WR,NYJ,12.8,-5.8
1,8,Graham,Bijan Robinson,RB,Atl,5.8,2.2
1,9,Chris,Ja'Marr Chase,WR,Cin,6.9,2.1
1,10,Jamie,Jahmyr Gibbs,RB,Det,15.0,-5.0
1,11,Jack E,Saquon Barkley,RB,Phi,12.7,-1.7
1,12,Colin,A.J. Brown,WR,Phi,11.2,0.8
2,13,Colin,Derrick Henry,RB,Bal,13.3,-0.3
2,14,Jack E,Kyren Williams,RB,LAR,17.9,-3.9
2,15,Jamie,De'Von Achane,RB,Mia,25.6,-10.6
2,16,Chris,Jonathan Taylor,RB,Ind,10.8,5.2
2,17,Graham,Mike Evans,WR,TB,24.3,-7.3
2,18,Andrew,Isiah Pacheco,RB,KC,20.4,-2.4
2,19,Jake,Drake London,WR,Atl,25.3,-6.3
2,20,Conor,Marvin Harrison Jr.,WR,Ari,18.5,1.5
2,21,Si,Brandon Aiyuk,WR,SF,31.3,-10.3
2,22,Ben,Cooper Kupp,WR,Sea,31.4,-9.4
2,23,Kevin,Travis Etienne Jr.,RB,Jax,24.2,-1.2
2,24,Jack C,Puka Nacua,WR,LAR,17.9,6.1
3,25,Jack C,Sam LaPorta,TE,Det,31.2,-6.2
3,26,Kevin,Travis Kelce,TE,KC,25.8,0.2
3,27,Ben,Josh Jacobs,RB,GB,29.6,-2.6
3,28,Si,Joe Mixon,RB,Hou,38.1,-10.1
3,29,Conor,Nico Collins,WR,Hou,31.0,-2.0
3,30,Jake,Josh Allen,QB,Buf,24.6,5.4
3,31,Andrew,David Montgomery,RB,Det,51.4,-20.4
3,32,Graham,Chris Olave,WR,NO,28.3,3.7
3,33,Chris,C.J. Stroud,QB,Hou,45.3,-12.3
3,34,Jamie,Deebo Samuel,WR,Was,30.4,3.6
3,35,Jack E,Davante Adams,WR,LAR,23.5,11.5
3,36,Colin,DK Metcalf,WR,Pit,38.6,-2.6
4,37,Colin,Kenneth Walker III,RB,Sea,45.7,-8.7
4,38,Jack E,DeVonta Smith,WR,Phi,45.4,-7.4
4,39,Jamie,James Cook,RB,Buf,40.8,-1.8
4,40,Chris,Raheem Mostert,RB,LV,67.7,-27.7
4,41,Graham,Lamar Jackson,QB,Bal,34.7,6.3
4,42,Andrew,Patrick Mahomes,QB,KC,29.6,12.4
4,43,Jake,Trey McBride,TE,Ari,47.8,-4.8
4,44,Conor,Anthony Richardson Sr.,QB,Ind,50.0,-6.0
4,45,Si,Dak Prescott,QB,Dal,68.7,-23.7
4,46,Ben,Jalen Hurts,QB,Phi,32.5,13.5
4,47,Kevin,Rachaad White,RB,TB,43.6,3.4
4,48,Jack C,DJ Moore,WR,Chi,39.9,8.1
5,49,Jack C,Rhamondre Stevenson,RB,NE,65.5,-16.5
5,50,Kevin,Jaylen Waddle,WR,Mia,43.6,6.4
5,51,Ben,Mark Andrews,TE,Bal,50.9,0.1
5,52,Si,Alvin Kamara,RB,NO,49.2,2.8
5,53,Conor,Malik Nabers,WR,NYG,55.5,-2.5
5,54,Jake,Rashee Rice,WR,KC,72.8,-18.8
5,55,Andrew,Michael Pittman Jr.,WR,Ind,49.7,5.3
5,56,Graham,D'Andre Swift,RB,Chi,78.7,-22.7
5,57,Chris,Dalton Kincaid,TE,Buf,58.6,-1.6
5,58,Jamie,Tank Dell,WR,Hou,68.6,-10.6
5,59,Jack E,Kyler Murray,QB,Ari,56.0,3.0
5,60,Colin,George Pickens,WR,Dal,71.9,-11.9
6,61,Colin,Jordan Love,QB,GB,70.0,-9.0
6,62,Jack E,George Kittle,TE,SF,51.7,10.3
