round,pick,manager,player,position,editorial_team_abbr,adp,adp_diff
1,1,Conor,Ja'Marr Chase,WR,Cin,3.1,-2.1
1,2,Ben,Justin Jefferson,WR,Min,1.5,0.5
1,3,Jack E,Christian McCaffrey,RB,SF,2.5,0.5
1,4,Si,Austin Ekeler,RB,Was,5.3,-1.3
1,5,Andrew,Derrick Henry,RB,Bal,15.6,-10.6
1,6,Graham,Tyreek Hill,WR,Mia,6.3,-0.3
1,7,Jake,Travis Kelce,TE,KC,7.7,-0.7
1,8,Kevin,Bijan Robinson,RB,Atl,9.6,-1.6
1,9,Jack C,Nick Chubb,RB,Hou,8.7,0.3
1,10,Chris,Stefon Diggs,WR,NE,9.6,0.4
1,11,Jamie,Saquon Barkley,RB,Phi,12.0,-1.0
1,12,Colin,A.J. Brown,WR,Phi,14.4,-2.4
2,13,Colin,CeeDee Lamb,WR,Dal,14.7,-1.7
2,14,Jamie,Josh Jacobs,RB,GB,18.9,-4.9
2,15,Chris,Tony Pollard,RB,Ten,14.2,0.8
2,16,Jack C,Amon-Ra St. Brown,WR,Det,19.0,-3.0
2,17,Kevin,Garrett Wilson,WR,NYJ,20.7,-3.7
2,18,Jake,Jalen Hurts,QB,Phi,21.3,-3.3
2,19,Graham,Najee Harris,RB,LAC,30.4,-11.4
2,20,Andrew,Davante Adams,WR,LAR,17.1,2.9
2,21,Si,Travis Etienne Jr.,RB,Jax,25.7,-4.7
2,22,Jack E,Joe Mixon,RB,Hou,30.2,-8.2
2,23,Ben,Patrick Mahomes,QB,KC,15.6,7.4
2,24,Conor,DeVonta Smith,WR,Phi,26.5,-2.5
3,25,Conor,Josh Allen,QB,Buf,24.3,0.7
3,26,Ben,Aaron Jones Sr.,RB,Min,33.0,-7.0
3,27,Jack E,Lamar Jackson,QB,Bal,36.3,-9.3
3,28,Si,Jahmyr Gibbs,RB,Det,35.5,-7.5
3,29,Andrew,Rhamondre Stevenson,RB,NE,32.9,-3.9
3,30,Graham,Calvin Ridley,WR,Ten,35.4,-5.4
3,31,Jake,Jaylen Waddle,WR,Mia,24.1,6.9
3,32,Kevin,Tee Higgins,WR,Cin,31.7,0.3
3,33,Jack C,Dameon Pierce,RB,Hou,45.5,-12.5
3,34,Chris,Deebo Samuel,WR,Was,40.2,-6.2
3,35,Jamie,Chris Olave,WR,NO,27.6,7.4
3,36,Colin,Kenneth Walker III,RB,Sea,44.9,-8.9
4,37,Colin,Breece Hall,RB,NYJ,38.3,-1.3
4,38,Jamie,DK Metcalf,WR,Pit,35.6,2.4
4,39,Chris,T.J. Hockenson,TE,Min,44.8,-5.8
4,40,Jack C,Cooper Kupp,WR,Sea,16.6,23.4
4,41,Kevin,J.K. Dobbins,RB,Den,45.1,-4.1
4,42,Jake,Mark Andrews,TE,Bal,34.0,8.0
4,43,Graham,Justin Fields,QB,NYJ,48.8,-5.8
4,44,Andrew,Amari Cooper,WR,LV,41.1,2.9
4,45,Si,Tyler Lockett,WR,Ten,54.7,-9.7
4,46,Jack E,Keenan Allen,WR,LAC,46.5,-0.5
4,47,Ben,Drake London,WR,Atl,63.3,-16.3
4,48,Conor,James Conner,RB,Ari,58.3,-10.3
5,49,Conor,James Cook,RB,Buf,69.9,-20.9
5,50,Ben,Alexander Mattison,RB,Mia,58.6,-8.6
5,51,Jack E,Brandon Aiyuk,WR,SF,62.4,-11.4
5,52,Si,Diontae Johnson,WR,Cle,76.7,-24.7
5,53,Andrew,Dalton Kincaid,TE,Buf,121.0,-68.0
5,54,Graham,Isiah Pacheco,RB,KC,76.7,-22.7
5,55,Jake,Cam Akers,RB,NO,59.9,-4.9
5,56,Kevin,Darren Waller,TE,Mia,57.1,-1.1
5,57,Jack C,Miles Sanders,RB,Dal,52.6,4.4
5,58,Chris,Dalvin Cook,RB,Dal,75.3,-17.3
5,59,Jamie,Trevor Lawrence,QB,Jax,58.7,0.3
5,60,Colin,DJ Moore,WR,Chi,55.9,4.1
6,61,Colin,Javonte Williams,RB,Dal,75.4,-14.4
6,62,Jamie,Christian Watson,WR,GB,76.7,-14.7
6,63,Chris,Joe Burrow,QB,Cin,44.6,18.4
6,64,Jack C,Justin Herbert,QB,LAC,54.1,9.9
6,65,Kevin,Jahan Dotson,WR,Phi,95.2,-30.2
6,66,Jake,Rachaad White,RB,TB,85.2,-19.2
6,67,Graham,Kyle Pitts Sr.,TE,Atl,60.4,6.6
6,68,Andrew,David Montgomery,RB,Det,77.4,-9.4
6,69,Si,George Kittle,TE,SF,47.3,21.7
6,70,Jack E,Dallas Goedert,TE,Phi,58.7,11.3
6,71,Ben,David Njoku,TE,Cle,94.3,-23.3
6,72,Conor,Terry McLaurin,WR,Was,65.3,6.7
7,73,Conor,Khalil Herbert,RB,Ind,95.3,-22.3
7,74,Ben,D'Andre Swift,RB,Chi,86.4,-12.4
7,75,Jack E,Chris Godwin Jr.,WR,TB,75.5,-0.5
7,76,Si,Dak Prescott,QB,Dal,78.4,-2.4
7,77,Andrew,Tua Tagovailoa,QB,Mia,95.6,-18.6
7,78,Graham,Antonio Gibson,RB,NE,110.0,-32.0
7,79,Jake,George Pickens,WR,Dal,91.5,-12.5
7,80,Kevin,A.J. Dillon,RB,Phi,102.2,-22.2
7,81,Jack C,Jonathan Taylor,RB,Ind,41.8,39.2
7,82,Chris,Michael Pittman Jr.,WR,Ind,82.9,-0.9
7,83,Jamie,Mike Evans,WR,TB,84.9,-1.9
7,84,Colin,Jamaal Williams,RB,NO,106.9,-22.9
8,85,Colin,Geno Smith,QB,LV,115.3,-30.3
8,86,Jamie,Zach Charbonnet,RB,Sea,117.2,-31.2
8,87,Chris,Alvin Kamara,RB,NO,81.2,5.8
8,88,Jack C,Jaxon Smith-Njigba,WR,Sea,111.4,-23.4
8,89,Kevin,Jordan Addison,WR,Min,105.5,-16.5
8,90,Jake,Mike Williams,WR,Pit,80.1,9.9
8,91,Graham,Zay Flowers,WR,Bal,115.5,-24.5
8,92,Andrew,DeAndre Hopkins,WR,Bal,62.3,29.7
8,93,Si,San Francisco,DEF,SF,68.5,24.5
8,94,Jack E,Raheem Mostert,RB,LV,115.2,-21.2
8,95,Ben,Christian Kirk,WR,Hou,89.4,5.6
8,96,Conor,Evan Engram,TE,Den,77.4,18.6
9,97,Conor,Brian Robinson Jr.,RB,SF,103.1,-6.1
9,98,Ben,Pat Freiermuth,TE,Pit,77.8,20.2
9,99,Jack E,Jerry Jeudy,WR,Cle,86.7,12.3
9,100,Si,Justin Tucker,K,Bal,76.8,23.2
9,101,Andrew,Rashaad Penny,RB,Phi,112.7,-11.7
9,102,Graham,Jaylen Warren,RB,Pit,125.8,-23.8
9,103,Jake,Courtland Sutton,WR,Den,120.4,-17.4
9,104,Kevin,Aaron Rodgers,QB,Pit,101.4,2.6
9,105,Jack C,Rashod Bateman,WR,Bal,123.7,-18.7
9,106,Chris,Jerick McKinnon,RB,KC,123.9,-17.9
9,107,Jamie,Gabe Davis,WR,Jax,100.4,6.6
9,108,Colin,Elijah Moore,WR,Buf,119.8,-11.8
10,109,Colin,Brandin Cooks,WR,NO,113.6,-4.6
10,110,Jamie,Tyler Conklin,TE,LAC,123.8,-13.8
10,111,Chris,Adam Thielen,WR,Min,127.0,-16.0
10,112,Jack C,De'Von Achane,RB,Mia,125.7,-13.7
10,113,Kevin,Ezekiel Elliott,RB,Dal,122.0,-9.0
10,114,Jake,JuJu Smith-Schuster,WR,KC,125.6,-11.6
10,115,Graham,Sam LaPorta,TE,Det,128.6,-13.6
10,116,Andrew,Kirk Cousins,QB,Atl,116.2,-0.2
10,117,Si,Hollywood Brown,WR,KC,100.2,16.8
10,118,Jack E,Samaje Perine,RB,Cin,119.2,-1.2
10,119,Ben,Deshaun Watson,QB,Cle,95.0,24.0
10,120,Conor,Jakobi Meyers,WR,LV,129.0,-9.0
11,121,Conor,Rashid Shaheed,WR,NO,,
11,122,Ben,Nico Collins,WR,Hou,125.0,-3.0
11,123,Jack E,Jalin Hyatt,WR,NYG,126.3,-3.3
11,124,Si,Daniel Jones,QB,Ind,94.4,29.6
11,125,Andrew,Damien Harris,RB,Buf,118.7,6.3
11,126,Graham,Quentin Johnston,WR,LAC,128.4,-2.4
11,127,Jake,Anthony Richardson Sr.,QB,Ind,116.8,10.2
11,128,Kevin,Treylon Burks,WR,Ten,123.1,4.9
11,129,Jack C,Cole Kmet,TE,Chi,126.2,2.8
11,130,Chris,Greg Dulcich,TE,Mia,122.9,7.1
11,131,Jamie,Deon Jackson,RB,Det,130.5,0.5
11,132,Colin,Dalton Schultz,TE,Hou,128.1,3.9
12,133,Colin,Juwan Johnson,TE,NO,133.6,-0.6
12,134,Jamie,Tank Bigsby,RB,Jax,128.0,6.0
12,135,Chris,Philadelphia,DEF,Phi,79.2,55.8
12,136,Jack C,Buffalo,DEF,Buf,86.8,49.2
12,137,Kevin,Dallas,DEF,Dal,76.5,60.5
12,138,Jake,Tyler Allgeier,RB,Atl,125.1,12.9
12,139,Graham,Washington,DEF,Was,141.7,-2.7
12,140,Andrew,Baltimore,DEF,Bal,119.8,20.2
12,141,Si,Skyy Moore,WR,SF,123.4,17.6
12,142,Jack E,Seattle,DEF,Sea,132.0,10.0
12,143,Ben,Pittsburgh,DEF,Pit,128.7,14.3
12,144,Conor,Tyler Bass,K,Buf,97.7,46.3
13,145,Conor,Michael Gallup,WR,Was,123.8,21.2
13,146,Ben,Harrison Butker,K,KC,97.3,48.7
13,147,Jack E,Daniel Carlson,K,LV,92.9,54.1
13,148,Si,Tyler Higbee,TE,LAR,122.7,25.3
13,149,Andrew,Gerald Everett,TE,Chi,133.2,15.8
13,150,Graham,Younghoe Koo,K,Atl,111.8,38.2
13,151,Jake,Jonathan Mingo,WR,Dal,,
13,152,Kevin,Evan McPherson,K,Cin,97.7,54.3
13,153,Jack C,Luke Musgrave,TE,GB,129.5,23.5
13,154,Chris,Matt Gay,K,Was,132.2,21.8
13,155,Jamie,Matthew Stafford,QB,LAR,128.3,26.7
13,156,Colin,New York,DEF,NYJ,91.8,64.2
14,157,Colin,Michael Thomas,WR,NO,115.0,42.0
14,158,Jamie,New Orleans,DEF,NO,130.2,27.8
14,159,Chris,Jimmy Garoppolo,QB,LAR,118.8,40.2
14,160,Jack C,Jared Goff,QB,Det,126.1,33.9
14,161,Kevin,Kenny Pickett,QB,LV,124.5,36.5
14,162,Jake,New England,DEF,NE,114.7,47.3
14,163,Graham,Elijah Mitchell,RB,KC,125.7,37.3
14,164,Andrew,Jason Sanders,K,Mia,129.1,34.9
14,165,Si,Kenneth Gainwell,RB,Pit,122.4,42.6
14,166,Jack E,Jake Ferguson,TE,Dal,134.5,31.5
14,167,Ben,Devin Singletary,RB,NYG,124.6,42.4
14,168,Conor,Chig Okonkwo,TE,Ten,125.7,42.3
15,169,Conor,Miami,DEF,Mia,122.7,46.3
15,170,Ben,Jerome Ford,RB,Cle,85.5,84.5
15,171,Jack E,Russell Wilson,QB,NYG,131.1,39.9
